ticker,name,sector,source
LH,LABCORP HOLDINGS INC,Health Care,SP500
LHX,L3HARRIS TECHNOLOGIES INC,Industrials,SP500
LII,LENNOX INTERNATIONAL INC,Industrials,SP500
LIN,LINDE PLC,Materials,SP500+NDX
LITE,LUMENTUM HOLDINGS INC,Information Technology,SP500
LLY,ELI LILLY,Health Care,SP500
LMT,LOCKHEED MARTIN CORP,Industrials,SP500
LNT,ALLIANT ENERGY CORP,Utilities,SP500
LOW,LOWES COMPANIES INC,Consumer Discretionary,SP500
LRCX,LAM RESEARCH CORP,Information Technology,SP500+NDX
LULU,LULULEMON ATHLETICA INC,Consumer Discretionary,SP500
LUV,SOUTHWEST AIRLINES,Industrials,SP500
LVS,LAS VEGAS SANDS CORP,Consumer Discretionary,SP500
LYB,LYONDELLBASELL INDUSTRIES NV CLASS,Materials,SP500
LYV,LIVE NATION ENTERTAINMENT INC,Communication,SP500
MA,MASTERCARD INC CLASS A,Financials,SP500
MAA,MID AMERICA APARTMENT COMMUNITIES,Real Estate,SP500
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Consumer Discretionary,SP500+NDX
MAS,MASCO CORP,Industrials,SP500
MCD,MCDONALDS CORP,Consumer Discretionary,SP500
MCHP,MICROCHIP TECHNOLOGY INC,Information Technology,SP500+NDX
MCK,MCKESSON CORP,Health Care,SP500
MCO,MOODYS CORP,Financials,SP500
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,SP500+NDX
MDT,MEDTRONIC PLC,Health Care,SP500
MELI,,,NDX
MET,METLIFE INC,Financials,SP500
META,META PLATFORMS INC CLASS A,Communication,SP500+NDX
MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary,SP500
MKC,MCCORMICK & CO NON-VOTING INC,Consumer Staples,SP500
MLM,MARTIN MARIETTA MATERIALS INC,Materials,SP500
MMM,3M,Industrials,SP500
MNST,MONSTER BEVERAGE CORP,Consumer Staples,SP500+NDX
MO,ALTRIA GROUP INC,Consumer Staples,SP500
MOS,MOSAIC,Materials,SP500
MPC,MARATHON PETROLEUM CORP,Energy,SP500
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,SP500+NDX
MRK,MERCK & CO INC,Health Care,SP500
MRNA,MODERNA INC,Health Care,SP500
MRSH,MARSH INC,Financials,SP500
MRVL,,,NDX
MS,MORGAN STANLEY,Financials,SP500
MSCI,MSCI INC,Financials,SP500
MSFT,MICROSOFT CORP,Information Technology,SP500+NDX
MSI,MOTOROLA SOLUTIONS INC,Information Technology,SP500
MSTR,,,NDX
MTB,M&T BANK CORP,Financials,SP500
MTD,METTLER TOLEDO INC,Health Care,SP500
MU,MICRON TECHNOLOGY INC,Information Technology,SP500+NDX
NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD,Consumer Discretionary,SP500
NDAQ,NASDAQ INC,Financials,SP500
NDSN,NORDSON CORP,Industrials,SP500
NEE,NEXTERA ENERGY INC,Utilities,SP500
NEM,NEWMONT,Materials,SP500
NFLX,NETFLIX INC,Communication,SP500+NDX
NI,NISOURCE INC,Utilities,SP500
NKE,NIKE INC CLASS B,Consumer Discretionary,SP500
NOC,NORTHROP GRUMMAN CORP,Industrials,SP500
NOW,SERVICENOW INC,Information Technology,SP500
NRG,NRG ENERGY INC,Utilities,SP500
NSC,NORFOLK SOUTHERN CORP,Industrials,SP500
NTAP,NETAPP INC,Information Technology,SP500
NTRS,NORTHERN TRUST CORP,Financials,SP500
NUE,NUCOR CORP,Materials,SP500
NVDA,NVIDIA CORP,Information Technology,SP500+NDX
NVR,NVR INC,Consumer Discretionary,SP500
NWS,NEWS CORP CLASS B,Communication,SP500
NWSA,NEWS CORP CLASS A,Communication,SP500
NXPI,NXP SEMICONDUCTORS NV,Information Technology,SP500+NDX
O,REALTY INCOME REIT CORP,Real Estate,SP500
ODFL,OLD DOMINION FREIGHT LINE INC,Industrials,SP500+NDX
OKE,ONEOK INC,Energy,SP500
OMC,OMNICOM GROUP INC,Communication,SP500
ON,ON SEMICONDUCTOR CORP,Information Technology,SP500
ORCL,ORACLE CORP,Information Technology,SP500
ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,SP500+NDX
OTIS,OTIS WORLDWIDE CORP,Industrials,SP500
OXY,OCCIDENTAL PETROLEUM CORP,Energy,SP500
PANW,PALO ALTO NETWORKS INC,Information Technology,SP500+NDX
PAYX,PAYCHEX INC,Industrials,SP500+NDX
PCAR,PACCAR INC,Industrials,SP500+NDX
PCG,PG&E CORP,Utilities,SP500
PDD,,,NDX
PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,SP500
PEP,PEPSICO INC,Consumer Staples,SP500+NDX
PFE,PFIZER INC,Health Care,SP500
PFG,PRINCIPAL FINANCIAL GROUP INC,Financials,SP500
PG,PROCTER & GAMBLE,Consumer Staples,SP500
PGR,PROGRESSIVE CORP,Financials,SP500
PH,PARKER-HANNIFIN CORP,Industrials,SP500
PHM,PULTEGROUP INC,Consumer Discretionary,SP500
PKG,PACKAGING CORP OF AMERICA,Materials,SP500
PLD,PROLOGIS REIT INC,Real Estate,SP500
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,SP500+NDX
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,SP500
PNC,PNC FINANCIAL SERVICES GROUP INC,Financials,SP500
PNR,PENTAIR,Industrials,SP500
PNW,PINNACLE WEST CORP,Utilities,SP500
PODD,INSULET CORP,Health Care,SP500
POOL,POOL CORP,Consumer Discretionary,SP500
PPG,PPG INDUSTRIES INC,Materials,SP500
PPL,PPL CORP,Utilities,SP500
PRU,PRUDENTIAL FINANCIAL INC,Financials,SP500
PSA,PUBLIC STORAGE REIT,Real Estate,SP500
PSKY,PARAMOUNT SKYDANCE CORP CLASS B,Communication,SP500
PSX,PHILLIPS,Energy,SP500
PTC,PTC INC,Information Technology,SP500
PWR,QUANTA SERVICES INC,Industrials,SP500
PYPL,PAYPAL HOLDINGS INC,Financials,SP500+NDX
Q,QNITY ELECTRONICS INC,Information Technology,SP500
QCOM,QUALCOMM INC,Information Technology,SP500+NDX
RCL,ROYAL CARIBBEAN GROUP LTD,Consumer Discretionary,SP500
REG,REGENCY CENTERS REIT CORP,Real Estate,SP500
REGN,REGENERON PHARMACEUTICALS INC,Health Care,SP500+NDX
RF,REGIONS FINANCIAL CORP,Financials,SP500
RJF,RAYMOND JAMES INC,Financials,SP500
RL,RALPH LAUREN CORP CLASS A,Consumer Discretionary,SP500
RMD,RESMED INC,Health Care,SP500
ROK,ROCKWELL AUTOMATION INC,Industrials,SP500
ROL,ROLLINS INC,Industrials,SP500
ROP,ROPER TECHNOLOGIES INC,Information Technology,SP500+NDX
ROST,ROSS STORES INC,Consumer Discretionary,SP500+NDX
RSG,REPUBLIC SERVICES INC,Industrials,SP500
RTX,RTX CORP,Industrials,SP500
RVTY,REVVITY INC,Health Care,SP500
SATS,ECHOSTAR CORP CLASS A,Communication,SP500
SBAC,SBA COMMUNICATIONS REIT CORP CLASS,Real Estate,SP500
SBUX,STARBUCKS CORP,Consumer Discretionary,SP500+NDX
SCHW,CHARLES SCHWAB CORP,Financials,SP500
SHOP,,,NDX
SHW,SHERWIN WILLIAMS,Materials,SP500
SJM,JM SMUCKER,Consumer Staples,SP500
SLB,SLB NV,Energy,SP500
SMCI,SUPER MICRO COMPUTER INC,Information Technology,SP500
SNA,SNAP ON INC,Industrials,SP500
SNDK,SANDISK CORP,Information Technology,SP500
SNPS,SYNOPSYS INC,Information Technology,SP500+NDX
SO,SOUTHERN,Utilities,SP500
SOLV,SOLVENTUM CORP,Health Care,SP500
SPG,SIMON PROPERTY GROUP REIT INC,Real Estate,SP500
SPGI,S&P GLOBAL INC,Financials,SP500
SRE,SEMPRA,Utilities,SP500
STE,STERIS,Health Care,SP500
STLD,STEEL DYNAMICS INC,Materials,SP500
STT,STATE STREET CORP,Financials,SP500
STX,SEAGATE TECHNOLOGY HOLDINGS PLC,Information Technology,SP500+NDX
STZ,CONSTELLATION BRANDS INC CLASS A,Consumer Staples,SP500
SW,SMURFIT WESTROCK PLC,Materials,SP500
SWK,STANLEY BLACK & DECKER INC,Industrials,SP500
SWKS,SKYWORKS SOLUTIONS INC,Information Technology,SP500
SYF,SYNCHRONY FINANCIAL,Financials,SP500
SYK,STRYKER CORP,Health Care,SP500
SYY,SYSCO CORP,Consumer Staples,SP500
T,AT&T INC,Communication,SP500
TAP,MOLSON COORS BREWING CLASS B,Consumer Staples,SP500
TDG,TRANSDIGM GROUP INC,Industrials,SP500
TDY,TELEDYNE TECHNOLOGIES INC,Information Technology,SP500
TEAM,,,NDX
TECH,BIO TECHNE CORP,Health Care,SP500
TEL,TE CONNECTIVITY PLC,Information Technology,SP500
TER,TERADYNE INC,Information Technology,SP500
TFC,TRUIST FINANCIAL CORP,Financials,SP500
TGT,TARGET CORP,Consumer Staples,SP500
TJX,TJX INC,Consumer Discretionary,SP500
TKO,TKO GROUP HOLDINGS INC CLASS A,Communication,SP500
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,SP500
TMUS,T MOBILE US INC,Communication,SP500+NDX
TPL,TEXAS PACIFIC LAND CORP,Energy,SP500
TPR,TAPESTRY INC,Consumer Discretionary,SP500
TRGP,TARGA RESOURCES CORP,Energy,SP500
TRI,,,NDX
TRMB,TRIMBLE INC,Information Technology,SP500
TROW,T ROWE PRICE GROUP INC,Financials,SP500
TRV,TRAVELERS COMPANIES INC,Financials,SP500
TSCO,TRACTOR SUPPLY,Consumer Discretionary,SP500
TSLA,TESLA INC,Consumer Discretionary,SP500+NDX
TSN,TYSON FOODS INC CLASS A,Consumer Staples,SP500
TT,TRANE TECHNOLOGIES PLC,Industrials,SP500
TTD,TRADE DESK INC CLASS A,Communication,SP500
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Communication,SP500+NDX
TXN,TEXAS INSTRUMENT INC,Information Technology,SP500+NDX
TXT,TEXTRON INC,Industrials,SP500
TYL,TYLER TECHNOLOGIES INC,Information Technology,SP500
UAL,UNITED AIRLINES HOLDINGS INC,Industrials,SP500
UBER,UBER TECHNOLOGIES INC,Industrials,SP500
UDR,UDR REIT INC,Real Estate,SP500
UHS,UNIVERSAL HEALTH SERVICES INC CLAS,Health Care,SP500
ULTA,ULTA BEAUTY INC,Consumer Discretionary,SP500
UNH,UNITEDHEALTH GROUP INC,Health Care,SP500
UNP,UNION PACIFIC CORP,Industrials,SP500
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,SP500
URI,UNITED RENTALS INC,Industrials,SP500
USB,US BANCORP,Financials,SP500
V,VISA INC CLASS A,Financials,SP500
VGNT,VERSIGENT PLC,Consumer Discretionary,SP500
VICI,VICI PPTYS INC,Real Estate,SP500
VLO,VALERO ENERGY CORP,Energy,SP500
VLTO,VERALTO CORP,Industrials,SP500
VMC,VULCAN MATERIALS,Materials,SP500
VRSK,VERISK ANALYTICS INC,Industrials,SP500+NDX
VRSN,VERISIGN INC,Information Technology,SP500
VRT,VERTIV HOLDINGS CLASS A,Industrials,SP500
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,SP500+NDX
VST,VISTRA CORP,Utilities,SP500
VTR,VENTAS REIT INC,Real Estate,SP500
VTRS,VIATRIS INC,Health Care,SP500
VZ,VERIZON COMMUNICATIONS INC,Communication,SP500
WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIE,Industrials,SP500
WAT,WATERS CORP,Health Care,SP500
WBD,WARNER BROS. DISCOVERY INC SERIES,Communication,SP500+NDX
WDAY,WORKDAY INC CLASS A,Information Technology,SP500+NDX
WDC,WESTERN DIGITAL CORP,Information Technology,SP500+NDX
WEC,WEC ENERGY GROUP INC,Utilities,SP500
WELL,WELLTOWER INC,Real Estate,SP500
WFC,WELLS FARGO,Financials,SP500
WM,WASTE MANAGEMENT INC,Industrials,SP500
WMB,WILLIAMS INC,Energy,SP500
WMT,WALMART INC,Consumer Staples,SP500+NDX
WRB,WR BERKLEY CORP,Financials,SP500
WSM,WILLIAMS SONOMA INC,Consumer Discretionary,SP500
WST,WEST PHARMACEUTICAL SERVICES INC,Health Care,SP500
WTW,WILLIS TOWERS WATSON PLC,Financials,SP500
WY,WEYERHAEUSER REIT,Real Estate,SP500
WYNN,WYNN RESORTS LTD,Consumer Discretionary,SP500
XEL,XCEL ENERGY INC,Utilities,SP500+NDX
XOM,EXXON MOBIL CORP,Energy,SP500
XYL,XYLEM INC,Industrials,SP500
XYZ,BLOCK INC CLASS A,Financials,SP500
YUM,YUM BRANDS INC,Consumer Discretionary,SP500
ZBH,ZIMMER BIOMET HOLDINGS INC,Health Care,SP500
ZBRA,ZEBRA TECHNOLOGIES CORP CLASS A,Information Technology,SP500
ZS,,,NDX
ZTS,ZOETIS INC CLASS A,Health Care,SP500
